trackname,artistname,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,time_signature,duration_min,msplayed_min,major_genre,danceability_norm,energy_norm,speechiness_norm,acousticness_norm,instrumentalness_norm,valence_norm,tempo_norm,loudness_norm
Honest,Nico Collins,Unknown,0.476,0.799,4.0,-4.939,0.0,0.212,0.016,0.0,0.257,0.577,162.139,audio_features,7dTxqsaFGHOXwtzHINjfHv,spotify:track:7dTxqsaFGHOXwtzHINjfHv,https://api.spotify.com/v1/tracks/7dTxqsaFGHOXwtzHINjfHv,https://api.spotify.com/v1/audio-analysis/7dTxqsaFGHOXwtzHINjfHv,4.0,3.199,3.196,Unknown,0.488,0.8,0.219,0.016,0.0,0.585,0.686,0.824
"In The Hall Of The Mountain King from Peer Gynt Suite N°1, Op. 46",London Symphony Orchestra,british orchestra,0.475,0.13,7.0,-17.719,1.0,0.051,0.916,0.956,0.101,0.122,112.241,audio_features,14Qcrx6Dfjvcj0H8oV8oUW,spotify:track:14Qcrx6Dfjvcj0H8oV8oUW,https://api.spotify.com/v1/tracks/14Qcrx6Dfjvcj0H8oV8oUW,https://api.spotify.com/v1/audio-analysis/14Qcrx6Dfjvcj0H8oV8oUW,4.0,2.514,30.104,Classical,0.487,0.129,0.053,0.92,0.963,0.124,0.475,0.54
#BrooklynBloodPop!,SyKo,glitchcore,0.691,0.814,1.0,-3.788,0.0,0.117,0.016,0.0,0.366,0.509,132.012,audio_features,7K9Z3yFNNLv5kwTjQYGjnu,spotify:track:7K9Z3yFNNLv5kwTjQYGjnu,https://api.spotify.com/v1/tracks/7K9Z3yFNNLv5kwTjQYGjnu,https://api.spotify.com/v1/audio-analysis/7K9Z3yFNNLv5kwTjQYGjnu,4.0,2.427,2.427,EDM,0.708,0.815,0.121,0.016,0.0,0.516,0.559,0.849
$10,Good Morning,experimental pop,0.624,0.596,4.0,-9.804,1.0,0.031,0.475,0.203,0.119,0.896,120.969,audio_features,3koAwrM1RO0TGMeQJ3qt9J,spotify:track:3koAwrM1RO0TGMeQJ3qt9J,https://api.spotify.com/v1/tracks/3koAwrM1RO0TGMeQJ3qt9J,https://api.spotify.com/v1/audio-analysis/3koAwrM1RO0TGMeQJ3qt9J,4.0,1.492,0.418,Pop,0.639,0.596,0.033,0.477,0.204,0.909,0.512,0.716
(I Just) Died In Your Arms,Cutting Crew,album rock,0.625,0.726,11.0,-11.402,0.0,0.044,0.016,0.0,0.062,0.507,124.945,audio_features,4ByEFOBuLXpCqvO1kw8Wdm,spotify:track:4ByEFOBuLXpCqvO1kw8Wdm,https://api.spotify.com/v1/tracks/4ByEFOBuLXpCqvO1kw8Wdm,https://api.spotify.com/v1/audio-analysis/4ByEFOBuLXpCqvO1kw8Wdm,4.0,4.673,91.749,Rock/Metal,0.64,0.726,0.046,0.016,0.0,0.514,0.529,0.68
(L)only Child,salem ilese,alt z,0.645,0.611,8.0,-5.925,0.0,0.137,0.29,0.0,0.237,0.645,157.475,audio_features,22lJaG2yxlSjIwdUIddcFk,spotify:track:22lJaG2yxlSjIwdUIddcFk,https://api.spotify.com/v1/tracks/22lJaG2yxlSjIwdUIddcFk,https://api.spotify.com/v1/audio-analysis/22lJaG2yxlSjIwdUIddcFk,3.0,2.408,37.299,Pop,0.661,0.611,0.142,0.291,0.0,0.654,0.667,0.802
(lol),Eren Cannata,guitar case,0.663,0.904,7.0,-4.71,1.0,0.086,0.001,0.289,0.341,0.675,118.024,audio_features,4DS2UXeR2V5W7R9aype6t1,spotify:track:4DS2UXeR2V5W7R9aype6t1,https://api.spotify.com/v1/tracks/4DS2UXeR2V5W7R9aype6t1,https://api.spotify.com/v1/audio-analysis/4DS2UXeR2V5W7R9aype6t1,4.0,3.627,7.356,Other,0.679,0.905,0.089,0.001,0.291,0.685,0.5,0.829
"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,cloud rap,0.792,0.511,2.0,-6.876,1.0,0.041,0.124,0.0,0.14,0.111,113.983,audio_features,30QR0ndUdiiMQMA9g1PGCm,spotify:track:30QR0ndUdiiMQMA9g1PGCm,https://api.spotify.com/v1/tracks/30QR0ndUdiiMQMA9g1PGCm,https://api.spotify.com/v1/audio-analysis/30QR0ndUdiiMQMA9g1PGCm,4.0,2.808,2.0,Hip-Hop/Rap,0.811,0.511,0.042,0.124,0.0,0.113,0.483,0.781
...Baby One More Time,Britney Spears,dance pop,0.759,0.699,0.0,-5.745,0.0,0.031,0.202,0.0,0.443,0.907,92.96,audio_features,3MjUtNVVq3C8Fn0MP3zhXa,spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,https://api.spotify.com/v1/tracks/3MjUtNVVq3C8Fn0MP3zhXa,https://api.spotify.com/v1/audio-analysis/3MjUtNVVq3C8Fn0MP3zhXa,4.0,3.518,1.79,Pop,0.778,0.699,0.032,0.203,0.0,0.92,0.394,0.806
0 to 100,Sidhu Moose Wala,desi hip hop,0.742,0.675,8.0,-6.551,1.0,0.091,0.139,0.0,0.167,0.679,145.989,audio_features,7cVe3mYMIfhOlz1NXFWv70,spotify:track:7cVe3mYMIfhOlz1NXFWv70,https://api.spotify.com/v1/tracks/7cVe3mYMIfhOlz1NXFWv70,https://api.spotify.com/v1/audio-analysis/7cVe3mYMIfhOlz1NXFWv70,4.0,1.808,0.356,Hip-Hop/Rap,0.76,0.675,0.094,0.14,0.0,0.689,0.618,0.788
01:22,colours in the dark,lo-fi sleep,0.62,0.122,2.0,-19.47,0.0,0.043,0.967,0.963,0.073,0.05,72.019,audio_features,3mZxGT3FA0vICzX4owzYGq,spotify:track:3mZxGT3FA0vICzX4owzYGq,https://api.spotify.com/v1/tracks/3mZxGT3FA0vICzX4owzYGq,https://api.spotify.com/v1/audio-analysis/3mZxGT3FA0vICzX4owzYGq,3.0,2.153,8.611,Lo-Fi/Chill,0.635,0.121,0.044,0.971,0.97,0.051,0.305,0.501
"10,000 Hours (with Justin Bieber)",Dan + Shay,contemporary country,0.654,0.63,10.0,-4.644,1.0,0.026,0.153,0.0,0.111,0.43,89.991,audio_features,2wrJq5XKLnmhRXHIAf9xBa,spotify:track:2wrJq5XKLnmhRXHIAf9xBa,https://api.spotify.com/v1/tracks/2wrJq5XKLnmhRXHIAf9xBa,https://api.spotify.com/v1/audio-analysis/2wrJq5XKLnmhRXHIAf9xBa,4.0,2.795,5.659,Country,0.67,0.63,0.027,0.154,0.0,0.436,0.381,0.83
11:23,mj apanay,bedroom r&b,0.611,0.256,8.0,-11.29,1.0,0.073,0.899,0.005,0.125,0.585,123.535,audio_features,3YhAZVvU1yeGo1l6aLK0V6,spotify:track:3YhAZVvU1yeGo1l6aLK0V6,https://api.spotify.com/v1/tracks/3YhAZVvU1yeGo1l6aLK0V6,https://api.spotify.com/v1/audio-analysis/3YhAZVvU1yeGo1l6aLK0V6,4.0,0.967,0.967,R&B/Soul,0.626,0.255,0.076,0.903,0.005,0.593,0.523,0.683
12 Hours,Chris James,singer-songwriter pop,0.83,0.414,3.0,-7.387,1.0,0.148,0.497,0.0,0.187,0.797,87.99,audio_features,4SCCczAQXPOkM26I2gWhjt,spotify:track:4SCCczAQXPOkM26I2gWhjt,https://api.spotify.com/v1/tracks/4SCCczAQXPOkM26I2gWhjt,https://api.spotify.com/v1/audio-analysis/4SCCczAQXPOkM26I2gWhjt,4.0,2.219,42.188,Pop,0.85,0.414,0.153,0.499,0.0,0.808,0.373,0.769
120,OQTAN,Unknown,0.806,0.945,8.0,-1.382,1.0,0.049,0.024,0.837,0.267,0.341,119.992,audio_features,1kdEXzn5xAyzTAzimbjhT4,spotify:track:1kdEXzn5xAyzTAzimbjhT4,https://api.spotify.com/v1/tracks/1kdEXzn5xAyzTAzimbjhT4,https://api.spotify.com/v1/audio-analysis/1kdEXzn5xAyzTAzimbjhT4,4.0,1.919,1.919,Unknown,0.826,0.946,0.05,0.024,0.843,0.346,0.508,0.903
